ROM;Clone of;Name;Year;Status;Comment
1941;;1941 - Counter Attack (World);1990;incompatible;"6 differences (incompatible): 
 - rom [buf1] missing
 - rom [ioa1] missing
 - rom [iob1.11e] missing
 - rom [prg1] missing
 - rom [rom1] missing
 - rom [sou1] missing"
1944;;1944: The Loop Master (US 000620);2000;matches;"matches"
19xx;;19XX: The War Against Destiny (US 951207);1996;matches;"matches"
altbeast;;Altered Beast (set 7, 8751 317-0078);1988;matches;"matches"
aof3;;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;1996;incompatible;"6 differences (incompatible): 
 - rom [096-c1.bin] missing
 - rom [096-c2.bin] missing
 - rom [096-c3.bin] missing
 - rom [096-c4.bin] missing
 - rom [096-c5.bin] missing
 - rom [096-c6.bin] missing"
avsp;;Alien vs. Predator (Euro 940520);1994;matches;"matches"
biomtoy;;Biomechanical Toy (unprotected);1995;matches;"matches"
blazeon;;Blaze On (Japan);1992;matches;"matches"
bombjack;;Bomb Jack (set 1);1984;matches;"matches"
burningf;;Burning Fight (set 1);1991;matches;"matches"
captcomm;;Captain Commando (World 911014);1991;matches;"matches"
ddonpach;;DoDonPachi (International);1997;matches;"matches"
ddsomu;ddsom;Dungeons & Dragons: Shadow over Mystara (US 960619);1996;matches;"matches"
ddtod;;Dungeons & Dragons: Tower of Doom (Euro 940412);1993;matches;"matches"
dino;;Cadillacs and Dinosaurs (World 930201);1993;matches;"matches"
donpachi;;DonPachi (US);1995;matches;"matches"
doubledr;;Double Dragon (Neo-Geo);1995;matches;"matches"
fatfury1;;Fatal Fury - King of Fighters / Garou Densetsu - shukumei no tatakai;1991;incompatible;"1 differences (incompatible): 
 - rom [033-m1.bin] missing"
fatfury3;;Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai;1995;matches;"matches"
fbfrenzy;;Football Frenzy;1992;matches;"matches"
ffight;;Final Fight (World);1989;incompatible;"7 differences (incompatible): 
 - rom [buf1] missing
 - rom [ioa1] missing
 - rom [iob1.11e] missing
 - rom [prg1] missing
 - rom [rom1] missing
 - rom [s224b.1a] missing
 - rom [sou1] missing"
forgottn;;Forgotten Worlds (US);1988;matches;"matches"
ghouls;;Ghouls'n Ghosts (World);1988;matches;"matches"
gigawing;;Giga Wing (US 990222);1999;matches;"matches"
goalx3;;Goal! Goal! Goal!;1995;incompatible;"2 differences (incompatible): 
 - rom [209-c1.bin] missing
 - rom [209-c2.bin] missing"
goldnaxe;;Golden Axe (set 6, US, 8751 317-123A);1989;incompatible;"2 differences (incompatible): 
 - rom [epr12544.a1] missing
 - rom [epr12545.a2] missing"
gtmrusa;gtmr;Great 1000 Miles Rally: U.S.A Version! (94/09/06);1994;incompatible;"9 differences (incompatible): 
 - rom [gmmu23.bin] missing
 - rom [gmmu24.bin] missing
 - rom [gmmu27.bin] missing
 - rom [gmmu28.bin] missing
 - rom [gmmu29.bin] missing
 - rom [gmmu30.bin] missing
 - rom [gmmu52.bin] missing
 - rom [gmmu64.bin] missing
 - rom [gmmu65.bin] missing"
knights;;Knights of the Round (World 911127);1991;matches;"matches"
kof2000;;The King of Fighters 2000;2000;matches;"matches"
kof99;;The King of Fighters '99 - Millennium Battle (set 1);1999;matches;"matches"
kotm;;King of the Monsters (set 1);1991;matches;"matches"
kov;;Knights of Valour / Sangoku Senki (ver. 117);1999;matches;"matches"
kov2;;;;unknown;
megaman;;Mega Man - The Power Battle (CPS1 Asia 951006);1995;matches;"matches"
mmatrix;;Mars Matrix: Hyper Solid Shooting (US 000412);2000;matches;"matches"
msh;;Marvel Super Heroes (Euro 951024);1995;incompatible;"2 differences (incompatible): 
 - rom [mshe.03e] missing
 - rom [mshe.04e] missing"
mshvsfj;mshvsf;Marvel Super Heroes Vs. Street Fighter (Japan 970707);1997;matches;"matches"
mslug;;Metal Slug - Super Vehicle-001;1996;matches;"matches"
mslug2;;Metal Slug 2 - Super Vehicle-001/II;1998;matches;"matches"
