# name|cloneof|title|category|manufacturer|year|titleImg|snapImg
005||005|Maze / Shooter Small|Sega|1981|005|005
11beat||Eleven Beat|Unplayable|Hudson|1998||
1941||1941: Counter Attack (World 900227)|Shooter / Flying Vertical|Capcom|1990|1941|1941
1941j|1941|1941: Counter Attack (Japan)|Shooter / Flying Vertical|Capcom|1990|1941|1941
1942||1942 (Revision B)|Shooter / Flying Vertical|Capcom|1984|1942|1942
1942a|1942|1942 (Revision A)|Shooter / Flying Vertical|Capcom|1984|1942|1942
1942b|1942|1942 (First Version)|Shooter / Flying Vertical|Capcom|1984|1942|1942
1943||1943: The Battle of Midway (Euro)|Shooter / Flying Vertical|Capcom|1987|1943|1943
1943j|1943|1943: Midway Kaisen (Japan, Rev B)|Shooter / Flying Vertical|Capcom|1987|1943|1943
1943kai||1943 Kai: Midway Kaisen (Japan)|Shooter / Flying Vertical|Capcom|1987|1943kai|1943kai
1944||1944: The Loop Master (USA 000620)|Shooter / Flying Vertical|Eighting / Raizing (Capcom license)|2000|1944|1944
1944j|1944|1944: The Loop Master (Japan 000620)|Shooter / Flying Vertical|Eighting / Raizing (Capcom license)|2000|1944|1944
1945kiii||1945k III|Shooter / Flying Vertical|Oriental Soft|2000|1945kiii|1945kiii
19xx||19XX: The War Against Destiny (USA 951207)|Shooter / Flying Vertical|Capcom|1996|19xx|19xx
19xxa|19xx|19XX: The War Against Destiny (Asia 951207)|Shooter / Flying Vertical|Capcom|1996|19xx|19xx
19xxh|19xx|19XX: The War Against Destiny (Hispanic 951218)|Shooter / Flying Vertical|Capcom|1996|19xx|19xx
19xxj|19xx|19XX: The War Against Destiny (Japan 951225)|Shooter / Flying Vertical|Capcom|1996|19xx|19xx
19xxjr1|19xx|19XX: The War Against Destiny (Japan 951207)|Shooter / Flying Vertical|Capcom|1996|19xx|19xx
2020bb||2020 Super Baseball (set 1)|Sports / Baseball|SNK / Pallas|1991|2020bb|2020bb
2020bba|2020bb|2020 Super Baseball (set 2)|Sports / Baseball|SNK / Pallas|1991|2020bb|2020bb
2020bbh|2020bb|2020 Super Baseball (set 3)|Sports / Baseball|SNK / Pallas|1991|2020bb|2020bb
280zzzap||Datsun 280 Zzzap|Driving / 1st Person|Midway|1976|280zzzap|280zzzap
3countb||3 Count Bout / Fire Suplex (NGM-043)(NGH-043)|Wrestling|SNK|1993|3countb|3countb
3in1semi||XESS - The New Revolution (SemiCom 3-in-1)|Multiplay|SemiCom|1997|3in1semi|3in1semi
3kokushi||Sankokushi (Japan)|Puzzle / Match|Mitchell|1996|3kokushi|3kokushi
3stooges||The Three Stooges In Brides Is Brides|Shooter / Field|Mylstar|1984|3stooges|3stooges
3wonders||Three Wonders (World 910520)|Multiplay|Capcom|1991|3wonders|3wonders
40love||Forty-Love|Sports / Tennis|Taito Corporation|1984|40love|40love
47pie2||Idol Janshi Su-Chi-Pie 2 (v1.1)|Tabletop / Mahjong|Jaleco|1994|47pie2|47pie2
47pie2o|47pie2|Idol Janshi Su-Chi-Pie 2 (v1.0)|Tabletop / Mahjong|Jaleco|1994|47pie2|47pie2
4dwarrio||4-D Warriors (315-5162)|Shooter / Flying Horizontal|Coreland / Sega|1985|4dwarrio|4dwarrio
4enraya||4 En Raya|Tabletop|IDSA|1990|4enraya|4enraya
4in1||4 Fun in 1|Multiplay|Armenia / Food and Fun|1981|4in1|4in1
4in1boot||Puzzle King (includes bootleg of Snow Bros.)|Multiplay|K1 Soft|2002||
4psimasy||Mahjong 4P Simasyo (Japan)|Tabletop / Mahjong|Sphinx / AV Japan|1994||4psimasy
600|turtles|600|Maze|Konami|1981|turtles|turtles
64street||64th. Street - A Detective Story (World)|Fighter / 2.5D|Jaleco|1991|64street|64street
720||720 Degrees (rev 4)|Sports / Skateboarding|Atari Games|1986|720|720
720g|720|720 Degrees (German, rev 2)|Sports / Skateboarding|Atari Games|1986|720|720
720gr1|720|720 Degrees (German, rev 1)|Sports / Skateboarding|Atari Games|1986|720|720
720r1|720|720 Degrees (rev 1)|Sports / Skateboarding|Atari Games|1986|720|720
720r2|720|720 Degrees (rev 2)|Sports / Skateboarding|Atari Games|1986|720|720
720r3|720|720 Degrees (rev 3)|Sports / Skateboarding|Atari Games|1986|720|720
7jigen||7jigen no Youseitachi - Mahjong 7 Dimensions (Japan)|Tabletop / Mahjong|Dynax|1990|7jigen|7jigen
7toitsu|mgakuen|Chi-Toitsu|Tabletop / Mahjong|Yuga|1988|mgakuen|mgakuen
800fath|mariner|800 Fathoms|Shooter / Misc. Horizontal|Amenip (US Billiards Inc. license)|1981|mariner|mariner
88games||'88 Games|Sports / Track & Field|Konami|1988|88games|88games
8ball||Video Eight Ball|Sports / Pool|Century Electronics|1982|8ball|8ball
8ball1|8ball|Video Eight Ball (Rev.1)|Sports / Pool|Century Electronics|1982|8ball|8ball
8ballact||Eight Ball Action (DK conversion)|Sports / Pool|Seatongrove Ltd (Magic Eletronics USA license)|1984|8ballact|8ballact
8bpm|8ballact|Eight Ball Action (Pac-Man conversion)|Sports / Pool|Seatongrove Ltd (Magic Eletronics USA license)|1985|8ballact|8ballact
99lstwar|repulse|'99: The Last War (set 1)|Shooter / Gallery|Sega (Proma license)|1985||
9ballsht||9-Ball Shootout (set 1)|Sports / Pool|E-Scape EnterMedia (Bundra license)|1993||
a51mxr3k|area51mx|Area 51 / Maximum Force Duo (R3000)|Shooter / Gun|Atari Games|1998|area51mx|area51mx
a51site4||Area 51: Site 4 (HD Rev 2.01, September 7, 1998)||Atari Games|1998||
aafb||All American Football (rev E)|Sports / Football Amer.|Leland Corp.|1989|aafb|aafb
aafbb|aafb|All American Football (rev B)|Sports / Football Amer.|Leland Corp.|1989|aafb|aafb
aafbc|aafb|All American Football (rev C)|Sports / Football Amer.|Leland Corp.|1989|aafb|aafb
aafbd2p|aafb|All American Football (rev D, 2 Players)|Sports / Football Amer.|Leland Corp.|1989|aafb|aafb
abaseb||Atari Baseball (set 1)|Sports / Baseball|Atari|1979|abaseb|abaseb
abaseb2|abaseb|Atari Baseball (set 2)|Sports / Baseball|Atari|1979|abaseb|abaseb
abattle|astrof|Astro Battle (set 1)|Shooter / Gallery|bootleg? (Sidam)|1979|astrof|astrof
abattle2|astrof|Astro Battle (set 2)|Shooter / Gallery|bootleg? (Sidam)|1979|astrof|astrof
abcop||A.B. Cop (World, FD1094 317-0169b)|Driving / Race (chase view) Bike|Sega|1990||
abscam|puckman|Abscam||GL (US Billiards license)|1981|puckman|puckman
abunai||Abunai Houkago - Mou Matenai (Japan 890325)|Tabletop / Hanafuda|Green Soft|1989||abunai
aburner|aburner2|After Burner (Japan)|Shooter / Flying (chase view)|Sega|1987|aburner2|aburner2
aburner2||After Burner II|Shooter / Flying (chase view)|Sega|1987|aburner2|aburner2
ace||Ace|Shooter / Field|Allied Leisure|1976|ace|ace
aceattac||Ace Attacker (FD1094 317-0059)|Unplayable|Sega|1988|aceattac|aceattac
acedrvrw||Ace Driver: Racing Evolution (Rev. AD2)|Driving / Race (chase view)|Namco|1994|acedrvrw|acedrvrw
acitya|bwcasino|Atlantic City Action|Casino|Epos Corporation|1983|bwcasino|bwcasino
acombat|astrof|Astro Combat (newer, CB)|Shooter / Gallery|bootleg|1979|astrof|astrof
acommand||Alien Command|Unplayable|Jaleco|1994||acommand
acpsx||Acclaim PSX|BIOS|Acclaim|1995||
acrobatm||Acrobat Mission|Shooter / Flying Vertical|UPL (Taito license)|1991|acrobatm|acrobatm
actfancr||Act-Fancer Cybernetick Hyper Weapon (World revision 2)|Platform / Shooter Scrolling|Data East Corporation|1989|actfancr|actfancr
actionhw||Action Hollywood||TCH|1995||
ad2083||A. D. 2083||Midcoin|1983||
aerfboot|aerofgt|Aero Fighters (bootleg set 1)||bootleg|1992|aerofgt|aerofgt
aeroboto|formatz|Aeroboto|Shooter / Misc. Horizontal|Jaleco (Williams license)|1984|formatz|formatz
aerofgt||Aero Fighters|Shooter / Flying Vertical|Video System Co.|1992|aerofgt|aerofgt
aerofgtb|aerofgt|Aero Fighters (Turbo Force hardware set 1)|Shooter / Flying Vertical|Video System Co.|1992|aerofgt|aerofgt
aerofgtc|aerofgt|Aero Fighters (Turbo Force hardware set 2)|Shooter / Flying Vertical|Video System Co.|1992|aerofgt|aerofgt
afighter||Action Fighter (FD1089A 317-0018)|Shooter / Misc. Vertical|Sega|1986|afighter|afighter
afire|astrof|Astro Fire|Shooter / Gallery|bootleg (Rene Pierre)|1979|astrof|astrof
agallet||Air Gallet (Europe)|Shooter / Flying Vertical|Banpresto / Gazelle|1996|agallet|agallet
agress||Agress|Puzzle / Sliding|Palco|1991|agress|agress
agressb|agress|Agress (English bootleg)||bootleg|2003|agress|agress
ainferno||Air Inferno (US)|Shooter / Flying 1st Person|Taito America Corporation|1990|ainferno|ainferno
airattck||Air Attack (set 1)||Comad|1996||
airbustr||Air Buster: Trouble Specialty Raid Unit (World)|Shooter / Flying Horizontal|Kaneko (Namco license)|1990|airbustr|airbustr
airco22b||Air Combat 22 (Rev. ACS1 Ver.B, Japan)|Shooter / Flying 1st Person|Namco|1995|airco22b|airco22b
aircomb||Air Combat (US)||Namco|1992||
aircombj|aircomb|Air Combat (Japan)|Shooter / Flying 1st Person|Namco|1992|aircombj|aircombj
airduel||Air Duel (Japan)|Shooter / Flying Vertical|Irem|1990|airduel|airduel
airraid|cshooter|Air Raid (encrypted)|Shooter / Flying Vertical|Seibu Kaihatsu|1987|cshooter|cshooter
airwolf||Airwolf|Shooter / Flying Horizontal|Kyugo|1987|airwolf|airwolf
ajax||Ajax|Shooter / Flying Vertical|Konami|1987|ajax|ajax
ajaxj|ajax|Ajax (Japan)|Shooter / Flying Vertical|Konami|1987|ajax|ajax
akiss||Mahjong Angel Kiss|Tabletop / Mahjong|Jaleco|1995|akiss|akiss
akkanvdr|spcinv95|Akkanbeder (Ver 2.5J 1995/06/14)|Shooter / Gallery|Taito Corporation|1995|spcinv95|spcinv95
alcon||Alcon (US)|Shooter / Flying Vertical|Toaplan / Taito America Corp.|1986||
alexkidd||Alex Kidd: The Lost Stars (set 2, unprotected)|Platform / Run Jump Scrolling|Sega|1986|alexkidd|alexkidd
alibaba||Ali Baba and 40 Thieves|Maze|Sega|1982|alibaba|alibaba
alien3||Alien3: The Gun (World)|Shooter / Gun|Sega|1993|alien3|alien3
alien3u|alien3|Alien3: The Gun (US)||Sega|1993|alien3|alien3
alienar||Alien Arena||Duncan Brown|1985||
alienaru|alienar|Alien Arena (Stargate upgrade)||Duncan Brown|1985||
alieninv|invaders|Alien Invasion|Shooter / Gallery|bootleg (Margamatics)|1969|invaders|invaders
aliens||Aliens (World set 1)|Platform / Shooter Scrolling|Konami|1990|aliens|aliens
aliens2|aliens|Aliens (World set 2)|Platform / Shooter Scrolling|Konami|1990|aliens|aliens
