ROM;Clone of;Name;Year;Status;Comment
1941;;1941 - Counter Attack (World);1990;compatible;"4 differences (compatible): 
 - rom [4143.bin] unnecessary
 - rom [4142.bin] unnecessary
 - rom [4137.bin] unnecessary
 - rom [4136.bin] unnecessary"
1942;;1942 (set 1);1984;matches;"matches"
1943;;1943: The Battle of Midway (US);1987;matches;"matches"
1943kai;;1943 Kai: Midway Kaisen (Japan);1987;matches;"matches"
1944;;1944: The Loop Master (US 000620);2000;matches;"matches"
19xx;;19XX: The War Against Destiny (US 951207);1996;matches;"matches"
4dwarrio;;4-D Warriors;1985;incompatible;"14 differences (incompatible): 
 - rom [4d.116] missing
 - rom [4d.109] missing
 - rom [4d.96] missing
 - rom [4d.120] missing
 - rom [4d.62] missing
 - rom [4d.61] missing
 - rom [4d.64] missing
 - rom [4d.63] missing
 - rom [4d.66] missing
 - rom [4d.65] missing
 - rom [4d.117] missing
 - rom [4d.04] missing
 - rom [4d.110] missing
 - rom [4d.05] missing"
altbeast;;Altered Beast (set 7, 8751 317-0078);1988;incompatible;"1 differences (incompatible): 
 - rom [317-0078.bin] missing"
aof3;;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;1996;incompatible;"17 differences (incompatible): 
 - rom [096-c6.bin] wrong CRC (4fca967f/expected: 9a9d2f7a)
 - rom [096-c5.bin] wrong CRC (1718bdcd/expected: c75a753c)
 - rom [096-c4.bin] wrong CRC (cbd58369/expected: 585b7e47)
 - rom [096-c3.bin] wrong CRC (7749f5e6/expected: 55f9ee1e)
 - rom [096-c2.bin] wrong CRC (f587f149/expected: 3840c508)
 - rom [096-c1.bin] wrong CRC (f6c74731/expected: f17b8d89)
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
arkanoid;;Arkanoid (World);1986;can_be_fixed;"3 differences (can_be_fixed): 
 - rom [08.bpr] wrong name (08.bpr/expected: a75-08.bpr)
 - rom [07.bpr] wrong name (07.bpr/expected: a75-07.bpr)
 - rom [09.bpr] wrong name (09.bpr/expected: a75-09.bpr)"
arknoid2;;Arkanoid - Revenge of DOH (World);1987;incompatible;"4 differences (incompatible): 
 - rom [b08_11.11c] unnecessary
 - rom [b08_12.3e] unnecessary
 - rom [b08_06.3e] unnecessary
 - rom [ark28742.bin] missing"
asteroid;;Asteroids (rev 2);1979;compatible;"5 differences (compatible): 
 - rom [035127.01] unnecessary
 - rom [035145.01] unnecessary
 - rom [035144.01] unnecessary
 - rom [035143.01] unnecessary
 - rom [readme.ast] unnecessary"
astinvad;;Astro Invader;1980;matches;"matches"
astrob;;Astro Blaster (version 3);1981;matches;"matches"
astrof;;Astro Fighter (set 1);1979;matches;"matches"
atetris;;Tetris (set 1);1988;matches;"matches"
avsp;;Alien vs. Predator (Euro 940520);1994;matches;"matches"
baddudes;;Bad Dudes vs. Dragonninja (US);1988;matches;"matches"
badlands;;Bad Lands;1989;matches;"matches"
balcube;;Bal Cube;1996;matches;"matches"
bbmanw;;Bomber Man World / New Dyna Blaster - Global Quest;1992;compatible;"6 differences (compatible): 
 - rom [bbm2-h0-a.77] unnecessary
 - rom [bbm2-l0-a.79] unnecessary
 - rom [bbm2-h0.77] unnecessary
 - rom [bbm2-l0.79] unnecessary
 - rom [bbm2-v0-b.30] unnecessary
 - rom [bbm2-sp-b.bin] unnecessary"
beraboho;berabohm;Beraboh Man (Japan version B);1988;incompatible;"48 differences (incompatible): 
 - rom [g81_p0.bin] unnecessary
 - rom [g81_p1.bin] unnecessary
 - rom [g81_p5.bin] unnecessary
 - rom [g81_s0.bin] unnecessary
 - rom [g81_s1.bin] unnecessary
 - rom [g81_v0.bin] unnecessary
 - rom [g81_v1.bin] unnecessary
 - rom [g81_v2.bin] unnecessary
 - rom [g81_v3.bin] unnecessary
 - rom [g81_v4.bin] unnecessary
 - rom [g81_v5.bin] unnecessary
 - rom [g8_chr-0.bin] unnecessary
 - rom [g8_chr-1.bin] unnecessary
 - rom [g8_chr-2.bin] unnecessary
 - rom [g8_chr-3.bin] unnecessary
 - rom [g8_chr-8.bin] unnecessary
 - rom [g8_obj-0.bin] unnecessary
 - rom [g8_obj-1.bin] unnecessary
 - rom [g8_obj-2.bin] unnecessary
 - rom [g8_obj-3.bin] unnecessary
 - rom [g8_obj-4.bin] unnecessary
 - rom [g8_obj-5.bin] unnecessary
 - rom [g8x_p6.bin] unnecessary
 - rom [g8x_p7.bin] unnecessary
 - rom [bm1_s0.bin] missing
 - rom [bm1_p0.bin] missing
 - rom [bm1_p1.bin] missing
 - rom [bm1_p4.bin] missing
 - rom [bm1-p6.bin] missing
 - rom [bm1_p7b.bin] missing
 - rom [bm1_v0.bin] missing
 - rom [bm_voi-1.bin] missing
 - rom [bm1_v2.bin] missing
 - rom [bm_chr-8.bin] missing
 - rom [bm_chr-0.bin] missing
 - rom [bm_chr-1.bin] missing
 - rom [bm_chr-2.bin] missing
 - rom [bm_chr-3.bin] missing
 - rom [bm_chr-4.bin] missing
 - rom [bm_chr-5.bin] missing
 - rom [bm_chr-6.bin] missing
 - rom [bm_obj-0.bin] missing
 - rom [bm_obj-1.bin] missing
 - rom [bm_obj-2.bin] missing
 - rom [bm_obj-3.bin] missing
 - rom [bm_obj-4.bin] missing
 - rom [bm_obj-5.bin] missing
 - rom [bm_obj-7.bin] missing"
bermudat;;Bermuda Triangle (Japan);1987;matches;"matches"
biomtoy;;Biomechanical Toy (unprotected);1995;matches;"matches"
bionicc;;Bionic Commando (US set 1);1987;matches;"matches"
bjtwin;;Bombjack Twin;1993;matches;"matches"
blazeon;;Blaze On (Japan);1992;matches;"matches"
block;;Block Block (World 910910);1991;matches;"matches"
bombjack;;Bomb Jack (set 1);1984;matches;"matches"
bonzeadv;;Bonze Adventure (World, Newer);1988;matches;"matches"
btoads;;Battle Toads;1994;matches;"matches"
bublbob2;;Bubble Bobble II (Ver 2.5O 1994/10/05);1994;compatible;"3 differences (compatible): 
 - rom [d90-09] unnecessary
 - rom [d90-15] unnecessary
 - rom [d90-16] unnecessary"
burningf;;Burning Fight (set 1);1991;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
cadash;;Cadash (World);1989;matches;"matches"
cameltry;;Cameltry (US);1989;matches;"matches"
captaven;;Captain America and The Avengers (Asia Rev 1.9);1991;matches;"matches"
captcomm;;Captain Commando (World 911014);1991;matches;"matches"
cclimber;;Crazy Climber (US);1980;matches;"matches"
cclimbr2;;Crazy Climber 2 (Japan);1988;matches;"matches"
cgangpzl;;Cosmo Gang the Puzzle (US);1992;incompatible;"5 differences (incompatible): 
 - rom [cp1-ep0l.bin] unnecessary
 - rom [cp1-ep0u.bin] unnecessary
 - rom [cp2-ep0l.bin] missing
 - rom [cp2-ep0u.bin] missing
 - rom [c69.bin] missing"
chopper;;Chopper I (US set 1);1988;matches;"matches"
chplft;;Choplifter;1985;matches;"matches"
cninja;;Caveman Ninja (World revision 3);1991;compatible;"20 differences (compatible): 
 - rom [gm01-2.1j] unnecessary
 - rom [gm02-3.1k] unnecessary
 - rom [gm04-2.3j] unnecessary
 - rom [gm05-2.3k] unnecessary
 - rom [gn-01.rom] unnecessary
 - rom [gn-02.rom] unnecessary
 - rom [gn-04.rom] unnecessary
 - rom [gn-05.rom] unnecessary
 - rom [sa_1_012.bin] unnecessary
 - rom [sa_1_017.bin] unnecessary
 - rom [sa_1_018.bin] unnecessary
 - rom [sa_1_019.bin] unnecessary
 - rom [sa_1_031.bin] unnecessary
 - rom [sa_1_032.bin] unnecessary
 - rom [sa_1_033.bin] unnecessary
 - rom [sa_1_069.bin] unnecessary
 - rom [gl01-2.j1] unnecessary
 - rom [gl02-2.k1] unnecessary
 - rom [gl04-2.j3] unnecessary
 - rom [gl05-2.k3] unnecessary"
columns;;Columns (World);1990;matches;"matches"
columns2;;Columns II: The Voyage Through Time (World);1990;incompatible;"4 differences (incompatible): 
 - rom [epr13360.rom] unnecessary
 - rom [epr13361.rom] unnecessary
 - rom [epr13363.bin] missing
 - rom [epr13362.bin] missing"
commando;;Commando (World);1985;can_be_fixed;"1 differences (can_be_fixed): 
 - rom [vt10.h9] wrong name (vt10.h9/expected: vt10.9h)"
contra;;Contra (US);1987;matches;"matches"
