ROM;Clone Of;Name;Year;advmame;mame4all;gngeo;fba
1941;;1941 - Counter Attack (World);1990;;;N/A;
1942;;1942 (set 1);1984;;;N/A;N/A
1943;;1943: The Battle of Midway (US);1987;;;N/A;N/A
1943kai;;1943 Kai: Midway Kaisen (Japan);1987;;;N/A;N/A
1944;;1944: The Loop Master (US 000620);2000;;N/A;N/A;
19xx;;19XX: The War Against Destiny (US 951207);1996;;N/A;N/A;
4dwarrio;;4-D Warriors;1985;;;N/A;N/A
altbeas2;altbeast;Altered Beast (set 2, MC-8123B 317-0066);1988;;;N/A;N/A
altbeas4;altbeast;Altered Beast (set 4, MC-8123B 317-0066);1988;;N/A;N/A;N/A
altbeast;;Altered Beast (set 7, 8751 317-0078);1988;;;N/A;
aof3;;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;1996;;;;
arkanoid;;Arkanoid (World);1986;;;N/A;N/A
arknoid2;;Arkanoid - Revenge of DOH (World);1987;;N/A;N/A;N/A
arknoidj;arkanoid;Arkanoid (Japan);1986;;;N/A;N/A
arknoidu;arkanoid;Arkanoid (US);1986;;;N/A;N/A
asteroid;;Asteroids (rev 2);1979;;;N/A;N/A
astinvad;;Astro Invader;1980;;;N/A;N/A
astrob;;Astro Blaster (version 3);1981;;;N/A;N/A
astrof;;Astro Fighter (set 1);1979;;;N/A;N/A
atetris;;Tetris (set 1);1988;;;N/A;N/A
avsp;;Alien vs. Predator (Euro 940520);1994;;N/A;N/A;
avspa;avsp;Alien vs. Predator (Asia 940520);1994;;N/A;N/A;
avspj;avsp;Alien vs. Predator (Japan 940520);1994;;N/A;N/A;
avspu;avsp;Alien vs. Predator (US 940520);1994;;N/A;N/A;
baddudes;;Bad Dudes vs. Dragonninja (US);1988;;;N/A;N/A
badlands;;Bad Lands;1989;;;N/A;N/A
balcube;;Bal Cube;1996;;N/A;N/A;N/A
bbmanw;;Bomber Man World / New Dyna Blaster - Global Quest;1992;;N/A;N/A;N/A
beraboho;berabohm;Beraboh Man (Japan version B);1988;;N/A;N/A;N/A
bermudat;;Bermuda Triangle (Japan);1987;;;N/A;N/A
biomtoy;;Biomechanical Toy (unprotected);1995;;;N/A;
bionicc;;Bionic Commando (US set 1);1987;;;N/A;N/A
bjtwin;;Bombjack Twin;1993;;;N/A;N/A
blazeon;;Blaze On (Japan);1992;;N/A;N/A;
block;;Block Block (World 910910);1991;;;N/A;N/A
bombjack;;Bomb Jack (set 1);1984;;;N/A;
bonzeadu;bonzeadv;Bonze Adventure (US);1988;;N/A;N/A;N/A
bonzeadv;;Bonze Adventure (World, Newer);1988;;N/A;N/A;N/A
btoads;;Battle Toads;1994;;N/A;N/A;N/A
bublbob2;;Bubble Bobble II (Ver 2.5O 1994/10/05);1994;;N/A;N/A;N/A
burningf;;Burning Fight (set 1);1991;;;;
burningh;burningf;Burning Fight (set 2);1991;;;N/A;
cadash;;Cadash (World);1989;;N/A;N/A;N/A
cameltry;;Cameltry (US);1989;;;N/A;N/A
camltrua;cameltry;Cameltry (US, alt sound);1989;;N/A;N/A;N/A
captaven;;Captain America and The Avengers (Asia Rev 1.9);1991;;N/A;N/A;N/A
captcomm;;Captain Commando (World 911014);1991;;;N/A;
captcomu;captcomm;Captain Commando (US 910928);1991;;;N/A;
cclimber;;Crazy Climber (US);1980;;;N/A;N/A
cclimbr2;;Crazy Climber 2 (Japan);1988;;;N/A;N/A
cgangpzl;;Cosmo Gang the Puzzle (US);1992;;N/A;N/A;N/A
chopper;;Chopper I (US set 1);1988;;;N/A;N/A
chplft;;Choplifter;1985;;;N/A;N/A
cninja;;Caveman Ninja (World revision 3);1991;;;N/A;N/A
columns;;Columns (World);1990;;N/A;N/A;N/A
columns2;;Columns II: The Voyage Through Time (World);1990;;N/A;N/A;N/A
commando;;Commando (World);1985;;;N/A;N/A
contra;;Contra (US);1987;;;N/A;N/A
cppicf2;cppicf;Peter Pepper's Ice Cream Factory (Cassette, set 2);1984;;N/A;N/A;N/A
crusnusa;;Cruis'n USA (rev L4.1);1994;;N/A;N/A;N/A
crysbios;;Crystal System BIOS;2001;not runnable;N/A;N/A;N/A
crysking;;The Crystal of Kings;2001;;N/A;N/A;N/A
cshift;;Chicken Shift;1984;;;N/A;N/A
csprint;;Championship Sprint (rev 3);1986;;;N/A;N/A
daioh;;Daioh;1993;;N/A;N/A;N/A
daytona;;Daytona USA (Japan);1993;;N/A;N/A;N/A
daytona2;;Daytona USA 2;1998;;N/A;N/A;N/A
daytonam;daytona;Daytona USA (Japan, To The MAXX);1993;;N/A;N/A;N/A
daytonat;daytona;Daytona USA (Japan, Turbo hack);1993;;N/A;N/A;N/A
dbz2;;Dragonball Z 2 - Super Battle;1994;;N/A;N/A;N/A
dday;;D-Day;1982;;;N/A;N/A
ddonpach;;DoDonPachi (International);1997;;;N/A;
ddragon;;Double Dragon (Japan);1987;;;N/A;N/A
ddragon2;;Double Dragon II - The Revenge (World);1988;;;N/A;N/A
ddragonu;ddragon;Double Dragon (US);1987;;;N/A;N/A
ddribble;;Double Dribble;1986;;;N/A;N/A
ddsomu;ddsom;Dungeons & Dragons: Shadow over Mystara (US 960619);1996;;N/A;N/A;
ddsomur1;ddsom;Dungeons & Dragons: Shadow over Mystara (US 960209);1996;;N/A;N/A;
ddtod;;Dungeons & Dragons: Tower of Doom (Euro 940412);1993;;N/A;N/A;
ddtodu;ddtod;Dungeons & Dragons: Tower of Doom (US 940125);1993;;N/A;N/A;
ddtodur1;ddtod;Dungeons & Dragons: Tower of Doom (US 940113);1993;;N/A;N/A;
diehard;;Die Hard Arcade (UET 960515 V1.000);1996;;N/A;N/A;N/A
dino;;Cadillacs and Dinosaurs (World 930201);1993;;;N/A;
dkong;;Donkey Kong (US set 1);1981;;;N/A;N/A
dkong3;;Donkey Kong 3 (US);1983;;;N/A;N/A
dkongjr;;Donkey Kong Junior (US);1982;;;N/A;N/A
donpachi;;DonPachi (US);1995;;N/A;N/A;
doubledr;;Double Dragon (Neo-Geo);1995;;;;
dragnblz;;Dragon Blaze;2000;;N/A;N/A;N/A
elevator;;Elevator Action;1983;;;N/A;N/A
elvact2u;elvactr;Elevator Action II (Ver 2.2A 1995/02/20);1994;;N/A;N/A;N/A
endurob2;enduror;Enduro Racer (bootleg set 2);1986;;;N/A;N/A
endurobl;enduror;Enduro Racer (bootleg set 1);1986;;;N/A;N/A
enduror;;Enduro Racer (YM2151, FD1089B 317-0013A);1986;;;N/A;N/A
enduror1;enduror;Enduro Racer (YM2203, FD1089B 317-0013A);1986;;N/A;N/A;N/A
faceoff;;Face Off (Japan);1988;;;N/A;N/A
fatfury1;;Fatal Fury - King of Fighters / Garou Densetsu - shukumei no tatakai;1991;;;;
fatfury3;;Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai;1995;;;;
fbfrenzy;;Football Frenzy;1992;;;;
ffight;;Final Fight (World);1989;;;N/A;
ffreveng;;Final Fight Revenge (JUET 990714 V1.000);1999;;N/A;N/A;N/A
firetrap;;Fire Trap (US);1986;;;N/A;N/A
frogger;;Frogger;1981;;;N/A;N/A
ga2;;Golden Axe: The Revenge of Death Adder (World);1992;;N/A;N/A;N/A
galaga;;Galaga (Namco rev. B);1981;;;N/A;N/A
galaga88;;Galaga '88;1987;;;N/A;N/A
galagamw;galaga;Galaga (Midway set 1);1981;;;N/A;N/A
galaxian;;Galaxian (Namco set 1);1979;;;N/A;N/A
gaunt2;;Gauntlet II;1986;;;N/A;N/A
gaunt2p;gauntlet;Gauntlet (2 Players, rev 6);1985;;;N/A;N/A
gauntlet;;Gauntlet (rev 14);1985;;;N/A;N/A
gghost;;Goalie Ghost;1984;;;N/A;N/A
ghouls;;Ghouls'n Ghosts (World);1988;;;N/A;
gigawing;;Giga Wing (US 990222);1999;;N/A;N/A;
gng;;Ghosts'n Goblins (World? set 1);1985;;;N/A;N/A
goalx3;;Goal! Goal! Goal!;1995;;;;
goldnaxe;;Golden Axe (set 6, US, 8751 317-123A);1989;;;N/A;
gp500;;GP500;1999;;N/A;N/A;N/A
gtmrusa;gtmr;Great 1000 Miles Rally: U.S.A Version! (94/09/06);1994;;N/A;N/A;
gunforc2;;Gunforce 2 (US);1994;;N/A;N/A;N/A
gunfront;;Gun & Frontier (World);1990;;;N/A;N/A
gunsmoke;;Gun.Smoke (World);1985;;;N/A;N/A
gunsmoku;gunsmoke;Gun.Smoke (US set 1);1985;;N/A;N/A;N/A
gwar;;Guerrilla War (US);1987;;;N/A;N/A
gyruss;;Gyruss (Konami);1983;;;N/A;N/A
hangly;puckman;Hangly-Man (set 1);1981;;;N/A;N/A
hangly2;puckman;Hangly-Man (set 2);1981;;;N/A;N/A
hangon;;Hang-On;1985;;;N/A;N/A
hangonjr;;Hang-On Jr.;1985;;N/A;N/A;N/A
hstennis;;Hot Shots Tennis (V1.1);1990;;N/A;N/A;N/A
ikari;;Ikari Warriors (US);1986;;;N/A;N/A
indytemp;;Indiana Jones and the Temple of Doom (set 1);1985;;;N/A;N/A
jackal;;Jackal (World);1986;;;N/A;N/A
jedi;;Return of the Jedi;1984;;;N/A;N/A
joust;;Joust (White/Green label);1982;;;N/A;N/A
joust2;;Joust 2 - Survival of the Fittest (set 1);1986;;;N/A;N/A
joustwr;joust;Joust (White/Red label);1982;;;N/A;N/A
junglek;;Jungle King (Japan);1982;;;N/A;N/A
karnov;;Karnov (US);1987;;;N/A;N/A
kidniki;;Kid Niki - Radical Ninja (World);1986;;;N/A;N/A
kinst;;Killer Instinct (v1.5d);1994;;N/A;N/A;N/A
kinst2;;Killer Instinct 2 (v1.4);1995;;N/A;N/A;N/A
kinst211;kinst2;Killer Instinct 2 (v1.1);1995;;N/A;N/A;N/A
kinst213;kinst2;Killer Instinct 2 (v1.3);1995;;N/A;N/A;N/A
klax;;Klax (set 1);1989;;;N/A;N/A
klax3;klax;Klax (set 3);1989;;;N/A;N/A
knights;;Knights of the Round (World 911127);1991;;;N/A;
kof2000;;The King of Fighters 2000;2000;;N/A;;
kof99;;The King of Fighters '99 - Millennium Battle (set 1);1999;;N/A;;
kof99e;kof99;The King of Fighters '99 - Millennium Battle (earlier);1999;;N/A;N/A;N/A
kof99n;kof99;The King of Fighters '99 - Millennium Battle (not encrypted);1999;;N/A;N/A;N/A
kotm;;King of the Monsters (set 1);1991;;;;
kov2;;Knights of Valour 2;2000;;N/A;N/A;N/A
kungfud;kungfum;Kung-Fu Master (Data East);1984;;;N/A;N/A
kungfum;;Kung-Fu Master;1984;;;N/A;N/A
lastday;;The Last Day (set 1);1990;;N/A;N/A;N/A
leaguemn;nbbatman;Yakyuu Kakutou League-Man (Japan);1993;;N/A;N/A;N/A
lkageb3;lkage;The Legend of Kage (bootleg set 3);1984;;;N/A;N/A
lostwsga;;The Lost World;1997;;N/A;N/A;N/A
luckywld;;Lucky & Wild;1992;;N/A;N/A;N/A
lwings;;Legendary Wings (US set 1);1986;;;N/A;N/A
madgear;;Mad Gear (US);1989;;;N/A;N/A
manxtt;;Manx TT Superbike;1995;;N/A;N/A;N/A
marble;;Marble Madness (set 1);1984;;;N/A;N/A
mario;;Mario Bros. (US);1983;;;N/A;N/A
megaman;;Mega Man - The Power Battle (CPS1 Asia 951006);1995;;;N/A;
metamrph;;Metamorphic Force (ver EAA);1993;;N/A;N/A;N/A
mk2chal;mk2;Mortal Kombat II Challenger (hack);1993;;N/A;N/A;N/A
mmatrix;;Mars Matrix: Hyper Solid Shooting (US 000412);2000;;N/A;N/A;
mmatrixj;mmatrix;Mars Matrix: Hyper Solid Shooting (Japan 000412);2000;;N/A;N/A;
mnight;;Mutant Night;1987;;;N/A;N/A
mp_sor2;;Streets of Rage II (Mega Play);1993;;N/A;N/A;N/A
msh;;Marvel Super Heroes (Euro 951024);1995;;N/A;N/A;
mshvsf;;Marvel Super Heroes Vs. Street Fighter (Euro 970625);1997;;N/A;N/A;
mshvsfj;mshvsf;Marvel Super Heroes Vs. Street Fighter (Japan 970707);1997;;N/A;N/A;
mshvsfj1;mshvsf;Marvel Super Heroes Vs. Street Fighter (Japan 970702);1997;;N/A;N/A;
mshvsfu1;mshvsf;Marvel Super Heroes Vs. Street Fighter (US 970625);1997;;N/A;N/A;
mslug;;Metal Slug - Super Vehicle-001;1996;;;;
mslug2;;Metal Slug 2 - Super Vehicle-001/II;1998;;;;
mslug3;;Metal Slug 3;2000;;N/A;;
mslug3n;mslug3;Metal Slug 3 (not encrypted);2000;;N/A;N/A;N/A
mslugx;;Metal Slug X - Super Vehicle-001;1999;;N/A;;
mt_beast;;Altered Beast (Mega-Tech);1988;;N/A;N/A;N/A
mt_revsh;;The Revenge of Shinobi (Mega-Tech);1989;;N/A;N/A;N/A
mvsc;;Marvel Vs. Capcom: Clash of Super Heroes (Euro 980112);1998;;N/A;N/A;
neobombe;;Neo Bomberman;1997;;;;
neodrift;;Neo Drift Out - New Technology;1996;;;;
neogeo;;Neo-Geo;1990;not runnable;;N/A;
neomrdo;;Neo Mr. Do!;1996;;;;
nitd;;Nightmare in the Dark;2000;;N/A;;N/A
nslasher;;Night Slashers (Korea Rev 1.3);1994;;N/A;N/A;N/A
offroad;;Ironman Stewart's Super Off-Road;1989;;;N/A;N/A
oneshot;;One Shot One Kill;0;;N/A;N/A;N/A
opwolf;;Operation Wolf (World);1987;;N/A;N/A;N/A
othundu;othunder;Operation Thunderbolt (US);1988;;N/A;N/A;N/A
outrun;;Out Run (set 3);1986;;;N/A;N/A
pacman;puckman;Pac-Man (Midway);1980;;;N/A;N/A
pacnpal;;Pac & Pal;1983;;;N/A;N/A
pang;;Pang (World);1989;;;N/A;N/A
paperboy;;Paperboy (rev 3);1984;;;N/A;N/A
passht4b;passsht;Passing Shot (4 Players) (bootleg);1988;;;N/A;N/A
pbobbl2n;;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);1999;;N/A;;
pbobbl2u;pbobble2;Bust-A-Move Again (Ver 2.3A 1995/07/31);1995;;N/A;N/A;N/A
pbobbl3u;pbobble3;Puzzle Bobble 3 (Ver 2.1A 1996/09/27);1996;;N/A;N/A;N/A
